Exp,x1,p1,t1,x2,p2,t2,N,k
Ericson15,200,1,0.25,300,1,0.75,6,4
Ericson15,200,1,0.25,300,1,1,1,1
Ericson15,200,1,0.5,300,1,0.75,5,3
Ericson15,200,1,0.5,300,1,1,8,7
Ericson15,200,1,0.5,300,1,1.25,12,12
Ericson15,250,1,0,750,1,0.25,6,0
Ericson15,250,1,0,750,1,0.5,7,3
Ericson15,250,1,0,750,1,0.75,5,0
Ericson15,250,1,0.25,750,1,0.5,8,2
Ericson15,250,1,0.25,750,1,0.75,8,3
Ericson15,250,1,0.25,750,1,1,8,2
Ericson15,250,1,0.5,750,1,0.75,3,2
Ericson15,250,1,0.5,750,1,1,6,1
Ericson15,250,1,0.5,750,1,1.25,2,0
Ericson15,333.33,1,0,1333.33,1,0.25,7,3
Ericson15,333.33,1,0,1333.33,1,0.5,2,1
Ericson15,333.33,1,0,1333.33,1,0.75,3,0
Ericson15,333.33,1,0.25,1333.33,1,0.5,11,0
Ericson15,333.33,1,0.25,1333.33,1,0.75,8,1
Ericson15,333.33,1,0.25,1333.33,1,1,7,1
Ericson15,333.33,1,0.5,1333.33,1,0.75,5,3
Ericson15,333.33,1,0.5,1333.33,1,1,3,1
Ericson15,333.33,1,0.5,1333.33,1,1.25,5,2
Ericson15,400,1,0,500,1,0.25,5,2
Ericson15,400,1,0,500,1,0.5,7,7
Ericson15,400,1,0,500,1,0.75,2,2
