trial,choice,manipulation,num,mean,trial_sort
DvR.4.Imm,DvR,Imm,4,0.36666666666666664,13
DvR.16.Imm,DvR,Imm,16,0.36666666666666664,14
DvR.6.Imm,DvR,Imm,6,0.4166666666666667,15
DvR.15.Imm,DvR,Imm,15,0.43333333333333335,16
RvAD.9.Imm,RvAD,Imm,9,0.55,1
RvAD.1.Imm,RvAD,Imm,1,0.5666666666666667,2
RvAD.7.Imm,RvAD,Imm,7,0.6,3
RvAD.5.Imm,RvAD,Imm,5,0.6166666666666667,4
RvAD.15.Imm,RvAD,Imm,15,0.6166666666666667,5
RvAD.3.Imm,RvAD,Imm,3,0.6333333333333333,6
RvAD.10.Imm,RvAD,Imm,10,0.65,7
RvAD.12.Imm,RvAD,Imm,12,0.6833333333333333,8
RvAD.13.Imm,RvAD,Imm,13,0.6833333333333333,9
RvAD.14.Imm,RvAD,Imm,14,0.6833333333333333,10
RvAD.4.Imm,RvAD,Imm,4,0.7,11
RvAD.2.Imm,RvAD,Imm,2,0.7166666666666667,12
RvAD.6.Imm,RvAD,Imm,6,0.7166666666666667,13
RvAD.11.Imm,RvAD,Imm,11,0.75,14
RvAD.16.Imm,RvAD,Imm,16,0.7666666666666667,15
RvAD.8.Imm,RvAD,Imm,8,0.8166666666666667,16
DvAR.9.Imm,DvAR,Imm,9,0.016666666666666666,1
DvAR.4.Imm,DvAR,Imm,4,0.06666666666666667,2
DvAR.13.Imm,DvAR,Imm,13,0.1,3
DvAR.6.Imm,DvAR,Imm,6,0.13333333333333333,4
DvAR.5.Imm,DvAR,Imm,5,0.15,5
DvAR.10.Imm,DvAR,Imm,10,0.15,6
DvAR.14.Imm,DvAR,Imm,14,0.16666666666666666,7
DvAR.11.Imm,DvAR,Imm,11,0.18333333333333332,8
DvAR.2.Imm,DvAR,Imm,2,0.2,9
DvAR.12.Imm,DvAR,Imm,12,0.2,10
DvAR.1.Imm,DvAR,Imm,1,0.25,11
DvAR.3.Imm,DvAR,Imm,3,0.25,12
DvAR.15.Imm,DvAR,Imm,15,0.3333333333333333,13
DvAR.8.Imm,DvAR,Imm,8,0.36666666666666664,14
DvAR.7.Imm,DvAR,Imm,7,0.43333333333333335,15
DvAR.16.Imm,DvAR,Imm,16,0.4666666666666667,16
DRvA.14.Imm,DRvA,Imm,14,0.35,1
DRvA.4.Imm,DRvA,Imm,4,0.36666666666666664,2
DRvA.5.Imm,DRvA,Imm,5,0.5166666666666667,3
DRvA.1.Imm,DRvA,Imm,1,0.55,4
