Paradigm,Exp,x1,p1,t1,x2,p2,t2,N,y
Choice,CG16_E3,35,1,4,42,1,6,25,6
Choice,CG16_E3,35,1,4,50,1,11,25,19
Choice,CG16_E3,36.8,1,8,40,1,11,25,9
Choice,CG16_E3,33.6,1,6,36.8,1,8,25,9
Choice,CG16_E3,28,1,4,33.6,1,6,25,9
Choice,CG16_E3,28,1,4,40,1,11,25,19
Choice,CG16_E3,50.6,1,8,55,1,11,25,15
Choice,CG16_E3,46.2,1,6,50.6,1,8,25,12
Choice,CG16_E3,38.5,1,4,46.2,1,6,25,13
Choice,CG16_E3,38.5,1,4,55,1,11,25,20
Choice,CG16_E3,64.4,1,8,70,1,11,25,10
Choice,CG16_E3,58.8,1,6,64.4,1,8,25,8
Choice,CG16_E3,49,1,4,58.8,1,6,25,10
Choice,CG16_E3,49,1,4,70,1,11,25,25
Choice,CG16_E3,41.4,1,8,45,1,11,25,13
Choice,CG16_E3,37.8,1,6,41.4,1,8,25,6
Choice,CG16_E3,31.5,1,4,37.8,1,6,25,9
Choice,CG16_E3,31.5,1,4,45,1,11,25,20
Choice,CG16_E3,55.2,1,8,60,1,11,25,12
Choice,CG16_E3,50.4,1,6,55.2,1,8,25,9
Choice,CG16_E3,42,1,4,50.4,1,6,25,7
Choice,CG16_E3,42,1,4,60,1,11,25,20
Choice,Ericson15,0.03,1,0,0.13,1,0.25,10,7
Choice,Ericson15,0.03,1,0,0.13,1,0.5,7,5
Choice,Ericson15,0.03,1,0,0.13,1,0.75,5,5
Choice,Ericson15,0.03,1,0.25,0.13,1,0.5,7,2
Choice,Ericson15,0.03,1,0.25,0.13,1,0.75,7,4
Choice,Ericson15,0.03,1,0.25,0.13,1,1,8,2
Choice,Ericson15,0.03,1,0.5,0.13,1,0.75,6,2
Choice,Ericson15,0.03,1,0.5,0.13,1,1,3,1
Choice,Ericson15,0.03,1,0.5,0.13,1,1.25,8,2
Choice,Ericson15,0.05,1,0,0.15,1,0.25,6,3
Choice,Ericson15,0.05,1,0,0.15,1,0.5,9,5
Choice,Ericson15,0.05,1,0,0.15,1,0.75,4,3
Choice,Ericson15,0.05,1,0.25,0.15,1,0.5,7,3
Choice,Ericson15,0.05,1,0.25,0.15,1,1,3,3
Choice,Ericson15,0.05,1,0.5,0.15,1,0.75,6,2
Choice,Ericson15,0.05,1,0.5,0.15,1,1,4,0
Choice,Ericson15,0.05,1,0.5,0.15,1,1.25,12,8
Choice,Ericson15,0.1,1,0,0.2,1,0.25,7,5
Choice,Ericson15,0.1,1,0,0.2,1,0.5,4,2
Choice,Ericson15,0.1,1,0,0.2,1,0.75,6,5
Choice,Ericson15,0.1,1,0.25,0.2,1,0.5,3,1
Choice,Ericson15,0.1,1,0.25,0.2,1,0.75,3,3
Choice,Ericson15,0.1,1,0.25,0.2,1,1,7,5
Choice,Ericson15,0.1,1,0.5,0.2,1,0.75,5,1
Choice,Ericson15,0.1,1,0.5,0.2,1,1,5,2
Choice,Ericson15,0.1,1,0.5,0.2,1,1.25,2,1
Choice,Ericson15,0.17,1,0,0.67,1,0.25,5,3
Choice,Ericson15,0.17,1,0,0.67,1,0.5,4,2
Choice,Ericson15,0.17,1,0,0.67,1,0.75,7,5
Choice,Ericson15,0.17,1,0.25,0.67,1,0.5,5,2
Choice,Ericson15,0.17,1,0.25,0.67,1,0.75,6,3
Choice,Ericson15,0.17,1,0.25,0.67,1,1,5,3
Choice,Ericson15,0.17,1,0.5,0.67,1,0.75,8,2
Choice,Ericson15,0.17,1,0.5,0.67,1,1,8,6
Choice,Ericson15,0.17,1,0.5,0.67,1,1.25,3,1
Choice,Ericson15,0.2,1,0,0.3,1,0.25,8,7
